Data,Dia da Semana,Hora Litúrgica,Título,Texto Litúrgico,
2025/08/16,sábado,Lilyo - Vigílias,Lilyo - Vigílias,,
2025/08/16,sábado,Safro - Oração da Manhã,Safro - Oração da Manhã,,
2025/08/16,sábado,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,,
2025/08/16,sábado,Terça - 9 horas,Terça - 9 horas,,
2025/08/16,sábado,Sexta - 12 horas,Sexta - 12 horas,,
2025/08/16,sábado,Noa - 15 horas,Noa - 15 horas,,
2025/08/16,sábado,Ramsho - Véspera,Ramsho - Véspera,,
2025/08/16,sábado,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,,
2025/08/16,sábado,Sutoro - Oração da Noite,Sutoro - Oração da Noite,,
2025/08/17,domingo,Lilyo - Vigílias,Lilyo - Vigílias,,
2025/08/17,domingo,Safro - Oração da Manhã,Safro - Oração da Manhã,,
2025/08/17,domingo,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1NbhLmohPwSIaJi6jTmdCeE-iePiZNMBTfZ2c6EbDsc4/edit?usp=sharing,Domingo - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/17,domingo,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/17,domingo,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/17,domingo,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/17,domingo,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/17,domingo,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/1reYY-E1CttTQI5lVlEOwJJtW6GcYy9xv_tF0t6RXd_8/edit?usp=sharing,Domingo - Salmo e Leituras -Ramsho 11ª s. Pent - 10ª dp Pent 
2025/08/17,Segunda,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1UNa7moOaEcML56BddcUc1NdfuULwgX597rbo-N-pwYk/edit?usp=sharing,Segunda - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/18,Segunda,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/18,Segunda,Synaxarion/Santos/Festas,São Renato ,https://docs.google.com/document/d/1UNa7moOaEcML56BddcUc1NdfuULwgX597rbo-N-pwYk/edit?usp=sharing,
2025/08/18,Segunda,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/1UNa7moOaEcML56BddcUc1NdfuULwgX597rbo-N-pwYk/edit?usp=sharing,
2025/08/18,Terça,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1oKat70kPR592YlzZVwAtM1w4f_-NRIFK-SAqxgNNjLM/edit?usp=sharing,Terça - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/19,Terça,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,Terça,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/19,quarta,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/1iLLV3Wo7nf0eQPtfwrron8ovfcUwoUn6KhRwNYU8r8I/edit?usp=sharing,
2025/08/20,quarta,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1iLLV3Wo7nf0eQPtfwrron8ovfcUwoUn6KhRwNYU8r8I/edit?usp=sharing,Quarta - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/20,quarta,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/20,quarta,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
