Categoria,Título,Link
VIRGEM MARIA,Ramsho,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
VIRGEM MARIA,Safro,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
ANJOS,Ramsho,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
ANJOS,Safro,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
APÓSTOLOS,Ramsho,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
APÓSTOLOS,Safro,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
MÁRTIRES,Ramsho,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
MÁRTIRES,Safro,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
CONFESSORES,Ramsho,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
CONFESSORES,Safro,https://docs.google.com/document/d/1MApQktBoAdXu342a49VYy7928D8XDvu5ztYAjDGxAIs/edit?usp=sharing
